SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
210000009094,TIP TOP BEE'S KNEES Single Can 100ml,Beach Liquors & Cigars ,33.0,0,0.0,,,0
210000009094,TIP TOP BEE'S KNEES Single Can 100ml,Warehouse,33.0,0,0.0,,,0
76737124562,EVERFRESH PINEAPPLE 16OZ GLASS BOTTLE,(Bayview/Coral Ridge) Ocean Wine & Spirits ,32.0,4.0,0.044,,,1
76737124562,EVERFRESH PINEAPPLE 16OZ GLASS BOTTLE,(FTL Beach/A1A) Ocean Wine & Spirits ,32.0,5.0,0.056,,,1
76737124562,EVERFRESH PINEAPPLE 16OZ GLASS BOTTLE,(Las Olas) Ocean Wine & Spirits ,32.0,12.0,0.133,,,2
76737124562,EVERFRESH PINEAPPLE 16OZ GLASS BOTTLE,Beach Liquors & Cigars ,32.0,11.0,0.122,,,2
76737124562,EVERFRESH PINEAPPLE 16OZ GLASS BOTTLE,Warehouse,32.0,0,0.0,,,0
657227000339,ESSENTIA IONIZED 1L,(Bayview/Coral Ridge) Ocean Wine & Spirits ,32.0,0,0.0,,,0
657227000339,ESSENTIA IONIZED 1L,(FTL Beach/A1A) Ocean Wine & Spirits ,32.0,11.0,0.122,,,2
657227000339,ESSENTIA IONIZED 1L,(Las Olas) Ocean Wine & Spirits ,32.0,5.0,0.056,,,1
657227000339,ESSENTIA IONIZED 1L,Beach Liquors & Cigars ,32.0,16.0,0.178,,,2
657227000339,ESSENTIA IONIZED 1L,Warehouse,32.0,0,0.0,,,0
048500018668,TROPICANA LEMONADE 11.oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,32.0,1.0,0.011,,,1
048500018668,TROPICANA LEMONADE 11.oz,(FTL Beach/A1A) Ocean Wine & Spirits ,32.0,8.0,0.089,,,1
048500018668,TROPICANA LEMONADE 11.oz,(Las Olas) Ocean Wine & Spirits ,32.0,8.0,0.089,,,1
048500018668,TROPICANA LEMONADE 11.oz,Beach Liquors & Cigars ,32.0,15.0,0.167,,,2
048500018668,TROPICANA LEMONADE 11.oz,Warehouse,32.0,0,0.0,,,0
080660956886,CORONA EXTRA 16OZ CAN,(Bayview/Coral Ridge) Ocean Wine & Spirits ,32.0,0,0.0,,,0
080660956886,CORONA EXTRA 16OZ CAN,(FTL Beach/A1A) Ocean Wine & Spirits ,32.0,2.0,0.022,,,1
080660956886,CORONA EXTRA 16OZ CAN,(Las Olas) Ocean Wine & Spirits ,32.0,14.0,0.156,,,2
080660956886,CORONA EXTRA 16OZ CAN,Beach Liquors & Cigars ,32.0,16.0,0.178,,,2
080660956886,CORONA EXTRA 16OZ CAN,Warehouse,32.0,0,0.0,,,0
052000204087,Gatorade Fruit Punch 20oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,31.0,0,0.0,,,0
052000204087,Gatorade Fruit Punch 20oz,(FTL Beach/A1A) Ocean Wine & Spirits ,31.0,8.0,0.089,,,1
052000204087,Gatorade Fruit Punch 20oz,(Las Olas) Ocean Wine & Spirits ,31.0,14.0,0.156,,,2
052000204087,Gatorade Fruit Punch 20oz,Beach Liquors & Cigars ,31.0,9.0,0.1,,,1
052000204087,Gatorade Fruit Punch 20oz,Warehouse,31.0,0,0.0,,,0
